id,long_name,tag
"01.26.00.00",HighVel*,HV*
##############################################
##             2. Sets of Stars             ##
##############################################
"02.00.00.00",Cluster*,Cl*
"02.01.00.00",GlobCluster,GlC
"02.02.00.00",OpenCluster,OpC
"03.00.00.00",Cluster*_Candidate,Cl?
"03.01.00.00",GlCl_Candidate,Gl?
"04.00.00.00",Association,As*
"04.01.00.00",Stream,St*
"04.02.00.00",MouvGroup,MGr
"05.00.00.00",As*_Candidate,As?
##############################################
##          3. Interstellar Medium          ##
##############################################
"06.00.00.00",ISM,ISM
"06.01.00.00",StarFormingReg,SFR
"06.02.00.00",HIIReg,HII
"06.03.00.00",Cloud,Cld
"06.03.01.00",GalNeb,GNe
"06.03.01.01",RefNeb,RNe
"06.03.02.00",MolCld,MoC
"06.03.03.00",DarkNeb,DNe
"06.03.04.00",Globule,glb
"06.03.05.00",ComGlob,CGb
"06.03.06.00",HVCld,HVC
"06.04.00.00",denseCore,cor
"06.05.00.00",Bubble,bub
"06.06.00.00",SNRemnant,SNR
"06.07.00.00",HIshell,sh
"06.08.00.00",Filament,flt
"06.09.00.00",SNRemnant_Candidate,SR?
##############################################
##          4. Taxonomy of Galaxies         ##
##############################################
"07.00.00.00",Galaxy,G
"07.01.00.00",LowSurfBrghtG,LSB
"07.02.00.00",BlueCompactG,bCG
"07.03.00.00",StarburstG,SBG
"07.04.00.00",HIIG,H2G
"07.05.00.00",EmissionG,EmG
"07.06.00.00",AGN,AGN
"07.06.01.00",Seyfert,SyG
"07.06.01.01",Seyfert1,Sy1
"07.06.01.02",Seyfert2,Sy2
"07.06.02.00",RadioG,rG
"07.06.03.00",LINER,LIN
"07.06.04.00",QSO,QSO
"07.06.04.01",Blazar,Bla
"07.06.04.02",BLLac,BLL # Not indented on right level - subcategory of Bla
### 4.1 Environment Properties ###
"07.07.00.00",GinPair,GiP
"07.08.00.00",GtowardsGroup,GiG
"07.09.00.00",GtowardsCl,GiC
"07.09.01.00",BrightestCG,BiC
"08.00.00.00",G_Candidate,G?
"08.06.00.00",AGN_Candidate,AG?
"08.06.04.00",QSO_Candidate,Q?
"08.06.04.01",Blazar_Candidate,Bz?
"08.06.04.02",BLLac_Candidate,BL? # Not indented on right level - subcategory of Bz?
##############################################
##            5. Sets of Galaxies           ##
##############################################
"09.00.00.00",InteractingG,IG
"10.00.00.00",PairG,PaG
"11.00.00.00",GroupG,GrG
"11.01.00.00",Compact_Gr_G,CGG
"12.00.00.00",ClG,ClG
"13.00.00.00",SuperClG,SCG
"14.00.00.00",Void,vid
"15.00.00.00",GrG_Candidate,Gr?
"16.00.00.00",ClG_Candidate,C?G
"17.00.00.00",SClG_Candidate,SC?
##############################################
##              6. Gravitation              ##
##############################################
"18.00.00.00",Gravitation,grv
"18.01.00.00",LensingEv,Lev
"18.02.00.00",GravLensSystem,gLS
"18.02.01.00",GravLens,gLe
"18.02.02.00",LensedImage,LeI
"18.02.02.01",LensedG,LeG
"18.02.02.02",LensedQ,LeQ
"18.03.00.00",LensSystem_Candidate,LS?
"18.03.01.00",Lens_Candidate,Le?
"18.03.02.00",lensImage_Candidate,LI?
"18.04.00.00",BlackHole,BH
"18.05.00.00",BH_Candidate,BH?
"18.06.00.00",GravWaveEvent,GWE
##############################################
##      7. General Spectral Properties      ##
##############################################
"19.00.00.00",Transient,ev
"20.00.00.00",Radio,Rad
"20.01.00.00",metricRad,mR
"20.02.00.00",cmRad,cm
"20.03.00.00",mmRad,mm
"20.04.00.00",smmRad,smm
"20.05.00.00",HI,HI
"20.06.00.00",radioBurst,rB
"20.07.00.00",Maser,Mas
"21.00.00.00",Infrared,IR
"21.01.00.00",FarIR,FIR
"21.02.00.00",MidIR,MIR
"21.03.00.00",NearIR,NIR
"22.00.00.00",Optical,Opt
"22.01.00.00",EmObj,EmO
"22.02.00.00",blue,blu
"23.00.00.00",UV,UV
"24.00.00.00",X,X
"24.01.00.00",ULX,ULX
"24.02.00.00",ULX_Candidate,UX?
"25.00.00.00",gamma,gam
"25.01.00.00",gammaBurst,gB
##############################################
##    8. Blends, Errors, Not Well Defined   ##
##############################################
"26.00.00.00",Blend,mul
"27.00.00.00",Inexistent,err
"28.00.00.00",PartofCloud,PoC
"29.00.00.00",PartofG,PoG
"30.00.00.00",Unknown,?
"31.00.00.00",Region,reg
# This is a comment, lines starting with '#' will be ignored
# when building the tree.
# Notes:
#'OVV': 'OVV', # No longer exists?
